question,option_A,category_A,option_B,category_B,option_C,category_C,option_D,category_D
Bạn thường ra quyết định dựa trên điều gì?,Phân tích logic và dữ liệu,Công nghệ,Cảm hứng và ý tưởng sáng tạo,Sáng tạo,Tham khảo ý kiến từ người khác,Dịch vụ,Lập kế hoạch và mục tiêu rõ ràng,Kinh doanh
Bạn cảm thấy thoải mái nhất khi làm việc ở đâu?,"Không gian yên tĩnh, tập trung",Công nghệ,"Môi trường năng động, nhiều người",Kinh doanh,"Không gian sáng tạo, tự do",Sáng tạo,Văn phòng có quy trình rõ ràng,Giáo dục
"Khi gặp vấn đề khó, bạn ưu tiên làm gì?",Tự nghiên cứu để tìm giải pháp,Công nghệ,Thảo luận với nhóm để có ý tưởng mới,Dịch vụ,Thử nhiều cách tiếp cận khác nhau,Dịch vụ,Tìm người có kinh nghiệm để học hỏi,Giáo dục
Bạn thích vai trò nào trong một dự án?,Người phân tích và xử lý chi tiết,Công nghệ,Người dẫn dắt và tổ chức nhóm,Kinh doanh,Người đưa ra ý tưởng mới,Sáng tạo,Người hỗ trợ và kết nối mọi người,Dịch vụ
Bạn tự tin nhất ở kỹ năng nào?,Xử lý số liệu và phân tích,Công nghệ,Thiết kế hình ảnh hoặc giao diện,Sáng tạo,Giao tiếp và thuyết phục người khác,Kinh doanh,Quản lý thời gian và dự án,Giáo dục
Bạn thường học hỏi kỹ năng mới như thế nào?,Tự học qua tài liệu và thực hành,Công nghệ,Tham gia khóa học hoặc hội thảo,Giáo dục,Làm việc với đội nhóm để học hỏi,Dịch vụ,Thử nghiệm và cải tiến dần dần,Kinh doanh
Bạn giỏi nhất ở loại công việc nào?,Phát triển phần mềm hoặc công cụ,Công nghệ,Giáo dục hoặc hướng dẫn người khác,Giáo dục,Kiểm tra và đảm bảo chất lượng,Dịch vụ,Lập kế hoạch và điều phối công việc,Kinh doanh
Bạn xử lý công việc phức tạp ra sao?,Chia nhỏ vấn đề để giải quyết,Công nghệ,Tìm cách sáng tạo để đơn giản hóa,Sáng tạo,Hỏi ý kiến từ đồng nghiệp,Giáo dục,Tuân theo quy trình đã được thiết lập,Giáo dục
Bạn muốn làm việc trong lĩnh vực nào?,Công nghệ và lập trình,Công nghệ,Kinh doanh hoặc quản lý,Kinh doanh,Nghệ thuật và sáng tạo nội dung,Sáng tạo,Giáo dục hoặc hướng dẫn người khác,Giáo dục
Bạn thích hoạt động nào ngoài giờ làm?,Tìm hiểu công nghệ hoặc khoa học,Công nghệ,Kết nối và gặp gỡ mọi người,Dịch vụ,"Vẽ, viết, hoặc sáng tạo nghệ thuật",Sáng tạo,Hỗ trợ cộng đồng hoặc tư vấn,Giáo dục
Bạn hứng thú với loại dự án nào?,Xây dựng sản phẩm/dịch vụ cho khách hàng,Dịch vụ,Tổ chức sự kiện hoặc chiến dịch,Kinh doanh,Thiết kế sản phẩm thẩm mỹ,Sáng tạo,Dạy học hoặc chia sẻ kiến thức,Giáo dục
Bạn muốn công việc có đặc điểm gì?,Thử thách về mặt kỹ thuật,Công nghệ,Cơ hội lãnh đạo và quản lý,Kinh doanh,Tự do sáng tạo và đổi mới,Sáng tạo,Gắn kết và hỗ trợ người khác,Dịch vụ
